ER66001,ER66002,ER67883,ER70882,ER71485,ER71570,ER71571
2,385,0,1,64000,43.057,17871.386
2,147,0,1,136000,49.738,28617.703
2,8806,0,1,5500,58.946,24112.852
2,5911,0,1,142000,53.45,39692.454
2,4379,0,1,391000,87.649,32198.115
2,3790,0,1,0,100.36,52980.644
2,4328,0,1,457000,38.795,20547.993
2,9451,0,1,370000,44.567,40711.509
2,3842,0,1,4500,19.407,8641.916
2,8502,0,7,300000,29.726,10684.444
2,7705,9999999,1,-102552,35.392,15735.771
2,8549,0,1,6000,32.37,17698.714
2,3785,0,1,-45500,28.184,6661.399
2,6336,0,1,156600,24.459,14362.384
2,7881,0,1,215000,14.227,9137.362
2,9175,0,1,60000,14.052,9580.896
2,1388,0,1,62726,67.445,46000.246
2,1483,0,1,5500,58.507,26596.772
2,2339,0,1,23650,33.068,23068.924
2,1523,0,1,31000,16.578,11186.096
2,192,0,3,3500,59.788,53699.602
2,7412,0,1,-49177,14.939,9925.64
2,4660,0,1,6200,15.24,9984.262
2,8676,0,2,131000,28.611,17061.448
2,7366,0,1,-11500,15.035,8483.063
2,5636,0,1,394000,16.254,9625.847
2,1136,0,1,279500,67.517,28861.581
2,1145,0,1,343600,55.169,21873
2,2475,0,1,162800,36.541,20116.832
2,1318,0,1,-26000,30.464,16771.305
2,1531,0,1,-38370,28.137,16096.478
2,2514,0,1,-1400,33.664,20402.5
2,858,0,1,257500,70.341,29165.056
2,491,0,1,130000,73.129,47537.624
2,2742,0,1,928000,34.328,17213.397
2,2611,0,1,185000,16.821,3916.131
2,2751,0,1,2615000,36.229,19297.65
2,3708,0,1,292000,18.891,12178.989
2,9195,0,1,37500,75.292,29349.465
2,9283,0,1,-25000,46.959,28540.716
2,5457,0,1,388500,23.462,12147.166
2,4252,0,1,212000,23.057,15274.154
2,9308,0,1,148400,20.08,12452.222
2,5008,0,1,468000,48.832,20615.168
2,521,0,1,18400,22.343,19517.982
2,853,0,1,13500,25.126,13240.657
2,862,0,1,935000,73.313,29013.157
2,416,0,1,423000,63.248,33574.571
2,449,0,1,-20000,16.739,11220.038
2,5548,0,1,2090000,94.079,39716.874
2,9376,0,1,1175000,57.431,40433.754
2,5865,0,1,2442000,41.251,29709.202
2,3893,0,1,1530000,45.402,35276.667
2,190,0,1,70000,69.58,34920.686
2,623,0,1,490700,29.267,9795.666
2,9099,0,1,230000,13.427,7526.563
2,902,0,1,566000,39.509,17897.416
2,473,0,1,1107500,65.727,23411.109
2,1052,18000,4,83300,91.152,63012.698
2,1097,0,7,13630,90.255,51165.199
2,1528,0,1,35000,77.661,49378.35
2,2355,0,1,117000,16.21,13316.454
